Name,Description,Price,Quantity,Stock,Published,Categories,Default Category
"Banana",Fresh Banana from the Vegetables & Fruits category,15,"1 kg",100,true,"Vegetables & Fruits; Fresh Fruits","Vegetables & Fruits"
"Apple (Kinnaur, Fuji)","Premium Apple varieties from the Vegetables & Fruits category",25,"1 kg",80,true,"Vegetables & Fruits; Fresh Fruits","Vegetables & Fruits"
"Papaya","Fresh Papaya from the Vegetables & Fruits category",20,"1 kg",60,true,"Vegetables & Fruits; Fresh Fruits","Vegetables & Fruits"
"Orange","Fresh Orange from the Vegetables & Fruits category",18,"1 kg",90,true,"Vegetables & Fruits; Fresh Fruits","Vegetables & Fruits"
"Pomegranate","Fresh Pomegranate from the Vegetables & Fruits category",35,"1 kg",70,true,"Vegetables & Fruits; Fresh Fruits","Vegetables & Fruits"
"Potato","Fresh Potato from the Vegetables & Fruits category",12,"1 kg",120,true,"Vegetables & Fruits; Fresh Vegetables","Vegetables & Fruits"
"Onion","Fresh Onion from the Vegetables & Fruits category",15,"1 kg",150,true,"Vegetables & Fruits; Fresh Vegetables","Vegetables & Fruits"
"Tomato","Fresh Tomato from the Vegetables & Fruits category",18,"1 kg",100,true,"Vegetables & Fruits; Fresh Vegetables","Vegetables & Fruits"
"Carrot","Fresh Carrot from the Vegetables & Fruits category",20,"1 kg",80,true,"Vegetables & Fruits; Fresh Vegetables","Vegetables & Fruits"
"Spinach","Fresh Spinach from the Vegetables & Fruits category",15,"250 g",60,true,"Vegetables & Fruits; Fresh Vegetables","Vegetables & Fruits"
"Avocado","Premium Avocado from the Exotic Fruits category",60,"1 pc",40,true,"Vegetables & Fruits; Exotic Fruits & Veggies","Vegetables & Fruits"
"Dragon Fruit","Exotic Dragon Fruit from selected farms",75,"1 pc",30,true,"Vegetables & Fruits; Exotic Fruits & Veggies","Vegetables & Fruits"
"Zucchini","Fresh Zucchini from the Exotic Veggies selection",30,"500 g",50,true,"Vegetables & Fruits; Exotic Fruits & Veggies","Vegetables & Fruits"
"Broccoli","Fresh Broccoli from premium farms",35,"500 g",45,true,"Vegetables & Fruits; Exotic Fruits & Veggies","Vegetables & Fruits"
